Номер поручения;Заказчик;Дата поручения;Выполнено;Дата выполнения;Затрачено дней;Сумма вознаграждения;Описание;Тип поручения
11169;Бабушка Синь;1053-02-20;да;1053-03-07;7.0;7500;В деревне монстры похитили путников. Нужно спасти их.;1
11170;Анна;1052-09-20;да;1052-09-27;6.0;12000;В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11171;Иван;1052-08-30;да;1052-09-11;8.0;12500;В лесу между городом и деревней были замечены разбойники. Нужно проучить их.;3
11172;Роман;1052-07-11;да;1052-09-08;6.0;9500;Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее.;2
11173;Бабушка Синь;1051-02-18;да;1051-03-21;4.0;7500;По дороге из деревни встречаются звери. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.;3
11174;Мария;1051-08-05;да;1051-09-17;2.0;15000;По дороге из деревни у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11175;Влад;1053-08-19;да;1053-09-30;9.0;9500;По дороге из деревни заметили разбойников. Нужно убить их.;3
11176;Леонтия;1052-02-18;да;1052-04-08;3.0;18000;Недалеко от города разбойники нападают на людей. Нужно убить их.;3
11177;Влад;1053-05-16;да;1053-06-18;9.0;13500;В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11178;Бьянка;1051-04-01;да;1051-05-08;3.0;21000;В деревне у меня был украден рюкзак. Нужно найти его как можно скорее.;2
11179;Эмилио;1052-07-26;да;1052-09-04;5.0;26000;В пещере появвилось огромное каменное чудовище. Нужно убить его.;0
11180;Бьянка;1051-06-06;да;1051-07-30;10.0;5500;В деревне у меня пропал рюкзак. Нужно найти его как можно скорее.;2
11181;Надя;1053-01-11;да;1053-01-20;3.0;29000;Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.;2
11182;Чарли;1051-08-14;да;1051-09-26;5.0;13500;В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11183;Бьянка;1051-04-24;да;1051-06-05;6.0;11000;В лесу около деревни были замечены разбойники. Нужно проучить их. Будьте осторожны, так как разбойники могут быть опасными.;3
11184;Максимилиан;1052-03-26;да;1052-05-21;2.0;15000;В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.;0
11185;Мария;1051-01-22;да;1051-01-25;1.0;23000;В лесу между городом и деревней монстры нападают на людей. Нужно уничтожить их.;3
11186;Бабушка Синь;1052-01-02;да;1052-01-14;1.0;10500;В пещере завёлся дракон. Нужно его уничтожить.;0
11187;Надя;1052-04-24;да;1052-06-18;7.0;15000;Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.;2
11188;Аделина;1053-09-19;да;1053-11-06;9.0;13000;В лесу недалеко от города заметили разбойников. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти разбойников.;3
11189;Роман;1052-07-14;да;1052-08-20;8.0;24500;Недалеко от города заметили разбойников. Нужно прогнать их.;3
11190;Егор;1053-08-15;да;1053-09-03;1.0;25500;В лесу между городом и деревней были замечены разбойники. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.;3
11191;Бабушка Синь;1052-07-09;да;1052-08-04;3.0;16000;В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.;2
11192;Влад;1051-12-06;да;1052-01-22;6.0;7000;Недалеко от города заметили монстров. Нужно победить их.;3
11193;Бабушка Синь;1051-01-22;да;1051-02-17;3.0;21500;В лесу недалеко от города видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.;3
11194;Татьяна;1052-09-07;да;1052-10-29;8.0;8500;В лесу по дороге от пещеры заметили разбойников. Нужно убить их.;3
11195;Бьянка;1051-07-31;да;1051-08-17;7.0;15000;В лесу между городом и деревней звери нападают на людей. Нужно прогнать их.;3
11196;Максимилиан;1052-07-22;да;1052-09-04;3.0;17000;Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11197;Бабушка Синь;1051-05-30;да;1051-07-06;7.0;20500;В пещере завёлся дракон. Нужно его уничтожить.;0
11198;Леонтия;1053-01-18;да;1053-01-23;3.0;28500;В лесу недалеко от города заметили разбойников. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти разбойников.;3
11199;Олег;1051-02-28;да;1051-03-17;6.0;7000;В лесу около деревни заметили разбойников. Нужно убить их.;3
11200;Бабушка Синь;1053-02-26;да;1053-04-27;10.0;17000;В лесу между городом и деревней видели монстров. Нужно уничтожить их.;3
11201;Чарли;1052-11-23;да;1053-01-22;10.0;29000;В лесу около деревни были замечены разбойники. Нужно проучить их.;3
11202;Леонтия;1051-09-04;да;1051-09-08;2.0;5000;В лесу по дороге от пещеры заметили монстров. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.;3
11203;Аделина;1052-06-03;да;1052-07-03;5.0;11500;По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11204;Анна;1051-07-25;да;1051-09-16;5.0;5500;Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее.;2
11205;Татьяна;1053-07-22;да;1053-08-13;10.0;25000;В лесу около деревни встречаются звери. Нужно убить их.;3
11206;Иван;1052-12-18;да;1052-12-25;1.0;9500;В городе у меня была украдена драгоценность. Нужно найти её как можно скорее.;2
11207;Максимилиан;1053-01-27;да;1053-02-21;7.0;17500;В лесу по дороге от пещеры встречаются звери. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.;3
11208;Чарли;1053-09-10;да;1053-09-21;8.0;9500;В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11209;Леонтия;1052-04-20;да;1052-05-23;2.0;21000;Недалеко от города заметили зверей. Нужно убить их.;3
11210;Эмилио;1052-12-14;да;1052-12-20;3.0;5500;В лесу недалеко от города заметили разбойников. Нужно убить их.;3
11211;Бьянка;1052-11-02;да;1052-12-13;8.0;22000;В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.;0
11212;Анна;1051-04-15;да;1051-05-18;3.0;20500;По дороге из деревни у меня пропала драгоценность. Нужно найти её как можно скорее.;2
11213;Бабушка Синь;1051-08-16;да;1051-10-11;8.0;15000;В пещере появвилось огромное каменное чудовище. Нужно убить его.;0
11214;Татьяна;1053-03-07;да;1053-04-29;3.0;17000;По дороге из деревни у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11215;Эмилио;1052-10-19;да;1052-11-05;9.0;29000;В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11216;Бабушка Синь;1051-02-18;да;1051-03-22;2.0;28000;Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11217;Эмилио;1053-02-26;да;1053-03-12;5.0;7500;По дороге из деревни у меня была украдена драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11218;Олег;1053-10-01;нет;;;16000;Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11219;Егор;1052-08-04;да;1052-08-16;10.0;19500;Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11220;Влад;1052-11-25;да;1052-12-25;1.0;28000;В лесу недалеко от города встречаются звери. Нужно убить их.;3
11221;Иван;1052-04-12;да;1052-05-17;1.0;11500;Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11222;Чарли;1052-08-14;да;1052-10-11;9.0;25500;В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.;2
11223;Леонтия;1051-10-30;да;1051-11-02;2.0;6500;В лесу по дороге от пещеры видели монстров. Нужно победить их.;3
11224;Татьяна;1053-01-20;да;1053-01-29;5.0;12500;Недалеко от города у меня пропал рюкзак. Нужно найти его как можно скорее.;2
11225;Влад;1052-05-23;да;1052-07-05;9.0;29500;В пещере завёлся дракон. Нужно его уничтожить.;0
11226;Надя;1052-02-02;да;1052-02-24;5.0;16500;В лесу около деревни видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.;3
11227;Леонтия;1051-08-18;да;1051-10-02;1.0;14500;В лесу около деревни заметили зверей. Нужно убить их.;3
11228;Егор;1051-04-24;да;1051-06-17;4.0;14000;Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11229;Роман;1052-03-16;да;1052-03-31;4.0;11500;Недалеко от города разбойники нападают на людей. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.;3
11230;Роман;1052-12-03;да;1052-12-20;7.0;10500;В городе у меня пропала драгоценность. Нужно найти её как можно скорее.;2
11231;Леонтия;1052-03-16;да;1052-03-20;3.0;22500;Недалеко от города заметили зверей. Нужно прогнать их.;3
11232;Бабушка Синь;1053-10-22;нет;;;17500;В деревне монстры похитили путников. Нужно спасти их.;1
11233;Максимилиан;1053-03-27;да;1053-05-01;7.0;24000;По дороге из деревни у меня пропал рюкзак. Нужно найти его как можно скорее.;2
11234;Олег;1053-10-24;нет;;;17000;В лесу по дороге от пещеры заметили разбойников. Нужно прогнать их.;3
11235;Егор;1051-07-29;да;1051-09-09;5.0;13500;В городе у меня потерялся рюкзак. Нужно вернуть его как можно скорее.;2
11236;Анна;1052-04-17;да;1052-05-31;9.0;26000;В лесу по дороге от пещеры заметили разбойников. Нужно проучить их.;3
11237;Эмилио;1051-05-23;да;1051-07-14;2.0;23000;В лесу недалеко от города звери нападают на людей. Нужно убить их.;3
11238;Эмилио;1051-03-19;да;1051-04-24;2.0;21000;В лесу по дороге от пещеры разбойники нападают на людей. Нужно прогнать их.;3
11239;Татьяна;1052-11-14;да;1052-11-20;1.0;9500;В лесу по дороге от пещеры звери нападают на людей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.;3
11240;Эмилио;1053-05-06;да;1053-06-23;7.0;15000;В лесу между городом и деревней разбойники нападают на людей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти разбойников.;3
11241;Максимилиан;1052-12-18;да;1053-01-28;4.0;15500;В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11242;Аделина;1051-04-13;да;1051-06-07;5.0;23000;Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11243;Иван;1052-11-22;да;1053-01-15;7.0;8000;В деревне у меня потерялся рюкзак. Нужно вернуть его как можно скорее.;2
11244;Эмилио;1053-08-18;да;1053-08-25;2.0;29000;В пещере завёлся дракон. Нужно его убить.;0
11245;Чарли;1053-07-08;да;1053-08-05;2.0;5500;В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.;2
11246;Анна;1051-09-01;да;1051-10-16;6.0;8500;В пещере завёлся дракон. Нужно его убить.;0
11247;Роман;1052-07-16;да;1052-08-19;6.0;18500;В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11248;Максимилиан;1052-07-30;да;1052-09-26;2.0;23000;В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11249;Леонтия;1053-07-10;да;1053-08-25;1.0;14000;В деревне монстры похитили путников. Нужно спасти их.;1
11250;Егор;1052-06-28;да;1052-07-24;9.0;22000;В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.;0
11251;Иван;1051-07-16;да;1051-09-12;3.0;23500;По дороге из деревни встречаются звери. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.;3
11252;Олег;1051-10-25;да;1051-11-17;3.0;25000;По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11253;Чарли;1051-11-13;да;1052-01-02;1.0;9000;Недалеко от города заметили зверей. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.;3
11254;Аделина;1053-01-15;да;1053-02-11;9.0;24500;Недалеко от города звери нападают на людей. Нужно прогнать их.;3
11255;Максимилиан;1052-03-16;да;1052-04-09;7.0;9500;В пещере появвилось огромное каменное чудовище. Нужно убить его.;0
11256;Иван;1053-07-13;да;1053-08-30;10.0;21500;В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.;0
11257;Эмилио;1053-01-25;да;1053-03-23;1.0;25500;В лесу по дороге от пещеры заметили монстров. Нужно победить их.;3
11258;Анна;1053-06-04;да;1053-08-02;9.0;18500;В лесу между городом и деревней заметили разбойников. Нужно убить их.;3
11259;Бабушка Синь;1052-03-02;да;1052-03-29;2.0;15000;В пещере появвилось огромное каменное чудовище. Нужно убить его.;0
11260;Бьянка;1052-05-08;да;1052-07-02;7.0;25500;В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11261;Аделина;1051-10-03;да;1051-10-29;7.0;17000;Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11262;Аделина;1052-03-23;да;1052-04-06;10.0;10000;Недалеко от города встречаются звери. Нужно убить их.;3
11263;Бьянка;1051-06-11;да;1051-08-10;1.0;5000;В лесу недалеко от города были замечены разбойники. Нужно убить их.;3
11264;Чарли;1051-03-28;да;1051-05-10;4.0;29500;В лесу между городом и деревней заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.;3
11265;Олег;1051-02-04;да;1051-03-22;1.0;11500;В пещере появвилось огромное каменное чудовище. Нужно убить его.;0
11266;Татьяна;1051-04-26;да;1051-06-20;9.0;6500;По дороге из деревни у меня был украден рюкзак. Нужно вернуть его как можно скорее.;2
11267;Влад;1053-03-09;да;1053-03-29;1.0;25500;По дороге из деревни монстры нападают на людей. Нужно уничтожить их.;3
11268;Роман;1053-07-17;да;1053-08-17;6.0;6000;В лесу недалеко от города разбойники нападают на людей. Нужно проучить их.;3
11269;Иван;1052-06-13;да;1052-08-02;5.0;6000;В деревне у меня потерялась сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11270;Бьянка;1051-10-29;да;1051-11-10;2.0;20000;В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.;0
11271;Егор;1053-06-25;да;1053-08-09;8.0;12500;Недалеко от города видели монстров. Нужно победить их.;3
11272;Надя;1052-08-24;да;1052-10-05;7.0;5500;В пещере завёлся дракон. Нужно его убить.;0
11273;Надя;1053-05-02;да;1053-06-14;6.0;8000;По дороге из деревни у меня пропал рюкзак. Нужно найти его как можно скорее.;2
11274;Анна;1051-04-13;да;1051-04-23;8.0;16000;В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11275;Татьяна;1051-11-22;да;1052-01-01;7.0;22500;В пещере появвилось огромное каменное чудовище. Нужно убить его.;0
11276;Надя;1051-07-15;да;1051-08-11;4.0;13500;В деревне монстры похитили путников. Нужно освободить их.;1
11277;Иван;1051-08-05;да;1051-09-15;10.0;5500;В пещере завёлся дракон. Нужно его убить.;0
11278;Аделина;1051-05-09;да;1051-07-03;4.0;29500;В деревне у меня пропала сумка с документами. Нужно вернуть её как можно скорее.;2
11279;Аделина;1051-05-05;да;1051-06-01;10.0;24500;В пещере появвилось огромное каменное чудовище. Нужно убить его.;0
11280;Надя;1052-10-13;да;1052-10-26;1.0;24500;В лесу по дороге от пещеры монстры нападают на людей. Нужно уничтожить их.;3
11281;Эмилио;1052-02-04;да;1052-02-29;6.0;25500;В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11282;Леонтия;1053-06-10;да;1053-08-05;2.0;10500;В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.;2
11283;Леонтия;1052-12-31;да;1053-02-09;5.0;6500;В пещере появвилось огромное каменное чудовище. Нужно уничтожить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.;0
11284;Эмилио;1051-05-13;да;1051-05-18;2.0;10500;В деревне у меня был украден рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.;2
11285;Чарли;1053-09-30;нет;;;5000;В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.;2
11286;Татьяна;1053-08-29;да;1053-09-11;8.0;26000;В городе у меня пропала драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11287;Эмилио;1052-04-20;да;1052-06-16;2.0;15000;По дороге из деревни монстры похитили путников. Нужно освободить их.;1
11288;Аделина;1053-04-03;да;1053-06-01;3.0;10000;В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11289;Егор;1051-08-08;да;1051-08-12;1.0;14000;Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11290;Роман;1053-04-22;да;1053-06-18;1.0;29000;В городе у меня была украдена драгоценность. Нужно найти её как можно скорее.;2
11291;Чарли;1051-04-30;да;1051-05-05;3.0;15000;По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее.;2
11292;Иван;1053-08-10;да;1053-09-10;7.0;19000;В деревне у меня пропала драгоценность. Нужно вернуть её как можно скорее.;2
11293;Татьяна;1052-09-17;да;1052-10-09;5.0;15000;Недалеко от города звери нападают на людей. Нужно убить их.;3
11294;Иван;1051-03-05;да;1051-04-20;7.0;28500;В лесу недалеко от города были замечены разбойники. Нужно проучить их. Осмотрите все возможные укрытия, чтобы найти разбойников.;3
11295;Чарли;1052-11-23;да;1053-01-16;7.0;15500;В пещере завёлся дракон. Нужно его уничтожить.;0
11296;Роман;1051-02-20;да;1051-03-19;4.0;20500;По дороге из деревни заметили разбойников. Нужно проучить их.;3
11297;Анна;1052-02-10;да;1052-02-26;6.0;14500;В деревне у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11298;Чарли;1052-08-09;да;1052-08-30;3.0;5500;В деревне монстры похитили путников. Нужно освободить их.;1
11299;Леонтия;1053-03-08;да;1053-04-29;4.0;17000;Недалеко от города у меня потерялся рюкзак. Нужно вернуть его как можно скорее.;2
11300;Влад;1053-06-28;да;1053-08-13;1.0;11000;В лесу между городом и деревней видели монстров. Нужно победить их.;3
11301;Анна;1051-03-23;да;1051-03-31;5.0;16000;В пещере завёлся дракон. Нужно его убить.;0
11302;Надя;1053-06-27;да;1053-08-13;7.0;5000;В лесу между городом и деревней заметили разбойников. Нужно прогнать их.;3
11303;Надя;1051-04-19;да;1051-05-01;5.0;9000;В пещере завёлся дракон. Нужно его уничтожить.;0
11304;Роман;1052-11-21;да;1053-01-06;6.0;22000;В лесу между городом и деревней заметили разбойников. Нужно проучить их.;3
11305;Олег;1051-06-10;да;1051-06-21;4.0;9500;По дороге из деревни разбойники нападают на людей. Нужно прогнать их.;3
11306;Олег;1053-11-15;нет;;;17000;В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11307;Влад;1051-01-22;да;1051-02-12;8.0;10500;Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11308;Анна;1053-05-09;да;1053-05-27;6.0;29500;В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.;2
11309;Эмилио;1053-05-16;да;1053-06-16;5.0;26000;В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.;2
11310;Надя;1053-09-24;нет;;;5000;По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11311;Бабушка Синь;1053-09-20;нет;;;19000;По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.;2
11312;Чарли;1052-07-09;да;1052-08-22;8.0;8000;В пещере завёлся дракон. Нужно его уничтожить.;0
11313;Влад;1052-05-10;да;1052-06-16;10.0;12000;В лесу по дороге от пещеры заметили зверей. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.;3
11314;Максимилиан;1051-05-26;да;1051-06-13;8.0;13000;Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.;2
11315;Мария;1052-02-11;да;1052-04-11;6.0;7500;В деревне у меня была украдена драгоценность. Нужно найти её как можно скорее.;2
11316;Максимилиан;1051-08-14;да;1051-10-10;8.0;18500;Недалеко от города у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11317;Роман;1052-12-20;да;1053-01-14;8.0;21500;Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.;2
11318;Чарли;1051-01-03;да;1051-02-12;4.0;25500;В лесу недалеко от города звери нападают на людей. Нужно убить их.;3
11319;Мария;1052-04-17;да;1052-06-09;4.0;22000;Недалеко от города встречаются звери. Нужно убить их.;3
11320;Максимилиан;1053-05-08;да;1053-06-17;6.0;29000;По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.;2
11321;Егор;1053-07-01;да;1053-07-05;1.0;28000;В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11322;Роман;1053-09-29;да;1053-10-26;10.0;8000;Недалеко от города у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.;2
11323;Максимилиан;1052-12-07;да;1052-12-11;3.0;19000;В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.;0
11324;Эмилио;1051-04-16;да;1051-04-19;1.0;23500;В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.;1
11325;Аделина;1052-02-27;да;1052-03-08;3.0;26500;По дороге из деревни у меня был украден рюкзак. Нужно вернуть его как можно скорее.;2
11326;Егор;1052-07-05;да;1052-08-27;1.0;5000;Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее.;2
11327;Роман;1052-09-04;да;1052-09-07;1.0;14500;По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.;2
11328;Бьянка;1051-12-15;да;1052-01-14;2.0;22000;Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.;2
11329;Бьянка;1053-06-19;да;1053-08-04;1.0;22500;Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее.;2
11330;Максимилиан;1053-05-08;да;1053-06-26;1.0;26000;По дороге из деревни у меня пропала драгоценность. Нужно вернуть её как можно скорее.;2
11331;Иван;1052-06-04;да;1052-07-26;2.0;6500;В пещере завёлся дракон. Нужно его уничтожить.;0
11332;Бабушка Синь;1051-05-27;да;1051-06-10;7.0;11500;В городе у меня был украден рюкзак. Нужно найти его как можно скорее.;2
11333;Аделина;1052-02-04;да;1052-03-28;8.0;17500;По дороге из деревни звери нападают на людей. Нужно убить их.;3
